RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
0,0.2,1,2.72,4.48,5.77,6.78,7.63,8.3,8.95,9.58,10.17,10.82,11.55,12.45,13.97,15.6,17.17,19,28.47,112.0960264
0,0.15,0.6,1.54,2.62,3.77,4.54,5.27,5.94,6.56,6.35,6.88,7.47,8.17,9.03,10.57,12.13,13.7,16.02,24.7,95.8491653
0,0.6,1.18,2.35,3.42,4.23,4.92,5.53,6.15,7.12,7.88,8.98,9.82,10.82,12.3,13.67,15.2,16.75,18.98,27.85,88.27977965
0,0.15,0.45,1.03,1.98,3.08,3.92,4.72,5.42,6.13,6.85,7.57,8.35,9.27,10.67,11.93,13.4,16.12,19.07,29.22,64.43483
0,0.64,1.2,1.73,2.83,4.13,5.2,6.13,7.13,8.17,9.35,10.62,11.7,12.63,13.7,14.98,16.13,17.97,20.58,32.03,66.36120425
0,0.69,2.43,4.32,5.98,7.4,8.67,9.67,10.52,11.32,12.13,12.95,13.73,14.57,15.53,16.6,18.57,20.8,23.95,33.07,192.834496
0,0.38,1.33,3.03,4.92,6.25,7.25,8.15,8.98,9.87,10.95,11.93,12.93,14.12,15.88,17.3,19.2,21.07,23.55,33.75,250.77098
0,0.15,0.69,1.28,2.17,2.95,3.52,4.12,4.01,4.59,4.03,4.67,5.53,6.37,7.07,7.78,9.6,10.85,12.78,26.28,26.77052938
0.52,2.57,4.97,7.17,8.87,10.2,11.5,12.9,14.13,15.35,16.55,18.07,20.05,21.68,23.15,25.27,27.32,30.62,32.73,42.43,217.2916174
0.71,2.67,4.82,6.63,8.13,9.48,10.75,11.83,13.1,14.73,16.43,17.73,18.9,20.22,21.4,22.52,23.85,25.65,28.42,38,156.8089308
0.1,1.29,2.92,4.58,5.75,6.63,7.47,8.4,9.48,10.5,11.82,13.67,15,16.33,18.32,19.87,21.25,23.05,25.48,37.6,199.3618699
0,0.64,2.2,4.58,6.18,7.48,8.65,9.68,10.6,11.65,12.8,13.6,14.42,15.58,16.57,19.08,22.58,24.37,26.47,38.45,231.8344268
0,0.07,0.4,0.99,1.68,2.52,3.3,4.02,4.62,5.23,5.78,6.42,7.12,7.75,8.45,9.18,10.08,11.5,13.52,28.82,67.89609425
